Name;HasErrors;ThrownOut;Grade;QU1;QU2;QU3
Änderungen;0;0;3;3;3;3
Cancel;0;0;7;7;7;7
Hochziehen einer Solution;0;0;4;4;3;2
JobVerarbeiten;0;0;3;3;2;2
LockMode;0;1;;;;
Sitzung;0;0;4;3;4;3
Ekpr_import_schnittstelle;0;1;;;;
SignaturVorgang;0;1;;;;
Reperatur;0;0;5;3;5;4
TraceNummer;0;0;5;6;6;4
Notebook_Aufsetzen;0;0;3;3;3;2
TransportmittelFürFahrtenbuch;0;0;5;6;7;6
Inventur;0;0;2;2;2;1
BMD_updates;0;0;2;1;1;1
Fakturen;0;0;2;1;1;1
KommSchein;0;0;4;4;4;4
Zugriff_DOT;0;1;;;;
vkpr_import_schnittstelle;0;0;3;2;3;3
Benutzerberechtigungen;0;0;2;3;2;2
Architektur_Aus_Anwendersicht;0;0;3;2;2;1
Nachrichten;0;0;2;1;2;1
Klumpat_Attribut;0;0;4;4;3;2
Auswahldialog;0;0;2;2;2;2
löschen;0;0;2;3;2;2
inventurstorno;0;0;5;6;4;5
spl_Termin_neuberechnen;0;1;;;;
JobVerarbeitung_auslösen;0;1;;;;
Debitor;0;0;5;6;5;6
ViewUnitRetrieveType;0;1;;;;
MarkdownFile;0;0;5;5;6;5
Datencontext;0;0;5;4;6;5
db_export;0;1;;;;
speichern_neuanlage;0;0;2;2;2;2
DatenobjekttypFürAnweisung;0;0;2;2;2;2
Kassa;0;0;2;4;2;1
Auftragsanlage;0;0;2;2;2;2
Job_wartezeitfürwiederausführung;0;0;6;7;7;6
Transaktion;0;0;6;7;7;4
speichern_änderungsmodus;0;0;6;7;4;3
Solution_releasen;0;0;5;6;2;3
Deploy_Ordner;0;1;;;;
BsIndikator;0;0;7;7;7;7
Warenbeschaffung;0;0;5;6;5;4
Fehlerbehandlung;0;0;3;2;3;2
Verkaufspreisfindung;0;1;;;;
Kommissionierung;0;1;;;;
Saisonware;0;0;3;3;2;2
Sql_Phase1_2_3;0;0;5;3;4;3
