Name;HasErrors;ThrownOut;Grade;QU1;QU2;QU3
Änderungen;0;1;;;;
Cancel;0;0;4;5;4;4
Hochziehen einer Solution;0;0;1;2;1;2
JobVerarbeiten;0;0;2;3;3;2
LockMode;0;0;1;2;2;2
Sitzung;0;0;5;4;3;3
Ekpr_import_schnittstelle;0;1;;;;
SignaturVorgang;0;0;5;4;4;3
Reperatur;0;0;5;4;4;3
TraceNummer;0;0;5;4;5;4
Notebook_Aufsetzen;0;0;6;6;6;6
TransportmittelFürFahrtenbuch;0;0;6;5;5;5
Inventur;0;1;;;;
BMD_updates;0;1;;;;
Fakturen;0;1;;;;
KommSchein;0;0;5;4;3;5
Zugriff_DOT;0;1;;;;
vkpr_import_schnittstelle;0;1;;;;
Benutzerberechtigungen;0;1;;;;
Architektur_Aus_Anwendersicht;0;1;;;;
Nachrichten;0;1;;;;
Klumpat_Attribut;0;0;2;2;1;2
Auswahldialog;0;0;3;2;3;2
löschen;0;1;;;;
inventurstorno;0;1;;;;
spl_Termin_neuberechnen;0;0;6;5;6;6
JobVerarbeitung_auslösen;0;0;2;1;2;1
Debitor;0;0;2;2;2;3
ViewUnitRetrieveType;0;0;3;2;3;3
MarkdownFile;0;0;5;4;4;5
Datencontext;0;0;3;2;3;4
db_export;0;1;;;;
speichern_neuanlage;0;0;1;2;1;1
DatenobjekttypFürAnweisung;0;1;;;;
Kassa;0;0;2;1;1;2
Auftragsanlage;0;1;;;;
Job_wartezeitfürwiederausführung;0;0;2;1;2;1
Transaktion;0;0;7;7;7;7
speichern_änderungsmodus;0;0;5;4;4;4
Solution_releasen;0;0;2;1;2;2
Deploy_Ordner;0;1;;;;
BsIndikator;0;1;;;;
Warenbeschaffung;0;0;3;3;3;3
Fehlerbehandlung;0;0;2;1;2;1
Verkaufspreisfindung;0;1;;;;
Kommissionierung;0;0;1;2;1;2
Saisonware;0;0;2;2;1;2
Sql_Phase1_2_3;0;1;;;;
