Name;HasErrors;ThrownOut;Grade;QU1;QU2;QU3
Änderungen;0;1;;;;
Cancel;0;0;3;2;2;2
Hochziehen einer Solution;0;0;3;3;3;2
JobVerarbeiten;0;0;4;3;4;3
LockMode;0;1;;;;
Sitzung;0;0;4;4;5;3
Ekpr_import_schnittstelle;0;0;2;1;2;1
SignaturVorgang;0;0;3;3;3;3
Reperatur;0;0;6;5;6;5
TraceNummer;0;0;3;3;3;3
Notebook_Aufsetzen;0;0;6;5;6;5
TransportmittelFürFahrtenbuch;0;0;5;4;4;4
Inventur;1;;;;;
BMD_updates;0;1;;;;
Fakturen;0;0;3;2;2;2
KommSchein;0;0;4;4;4;4
Zugriff_DOT;0;1;;;;
vkpr_import_schnittstelle;0;0;4;3;3;3
Benutzerberechtigungen;0;0;5;4;4;4
Architektur_Aus_Anwendersicht;0;0;3;3;3;3
Nachrichten;0;0;5;5;5;5
Klumpat_Attribut;0;0;3;3;3;3
Auswahldialog;0;0;4;4;4;4
löschen;0;1;;;;
inventurstorno;0;0;3;3;3;3
spl_Termin_neuberechnen;0;0;4;4;4;4
JobVerarbeitung_auslösen;0;1;;;;
Debitor;0;0;3;3;3;3
ViewUnitRetrieveType;0;0;3;3;3;3
MarkdownFile;0;0;5;5;5;5
Datencontext;0;1;;;;
db_export;0;1;;;;
speichern_neuanlage;1;;;;;
DatenobjekttypFürAnweisung;0;0;3;3;3;3
Kassa;0;0;4;4;4;4
Auftragsanlage;0;1;;;;
Job_wartezeitfürwiederausführung;0;0;5;4;5;4
Transaktion;0;0;3;2;2;2
speichern_änderungsmodus;1;;;;;
Solution_releasen;0;0;3;3;3;3
Deploy_Ordner;0;1;;;;
BsIndikator;0;0;4;4;4;4
Warenbeschaffung;1;;;;;
Fehlerbehandlung;0;0;2;2;2;2
Verkaufspreisfindung;1;;;;;
Kommissionierung;1;;;;;
Saisonware;0;0;4;4;4;4
Sql_Phase1_2_3;0;0;1;1;1;1
