Name;Group;AnonLevel;HatFehler;Tasks;Events;SequenceFlows;XOR (Split);XOR (Join);AND (Split);AND (Join);task_fitness;task_precision;event_fitness;event_precision;gatewayPositioning_fitness;gatewayPositioning_precision;gatewayContent_fitness;gatewayContent_precision;flow_fitness;flow_precision
Architektur_Aus_Anwendersicht;Aalst;None;0;8;2;14;0;0;1;1;0,0000;0,0000;1,0000;1,0000;1,0000;0,0000;1,0000;0,0000;0,0000;0,0000
Auftragsanlage;Aalst;None;0;21;2;34;2;2;2;2;0,4000;0,0952;1,0000;1,0000;1,0000;0,0000;1,0000;0,0667;0,0000;0,0000
Auswahldialog;Aalst;None;0;13;2;17;0;0;1;1;0,0909;0,0769;1,0000;1,0000;1,0000;0,0000;1,0000;0,0769;0,0000;0,0000
Benutzerberechtigungen;Aalst;None;0;5;2;15;2;2;1;1;0,0000;0,0000;1,0000;1,0000;1,0000;0,3333;0,0000;0,0000;0,2000;0,0667
BMD_updates;Aalst;None;0;5;2;12;1;1;1;1;0,0000;0,0000;1,0000;1,0000;0,5000;0,5000;0,0000;0,0000;0,0000;0,0000
BsIndikator;Aalst;None;0;5;2;12;2;2;0;0;1,0000;0,0000;1,0000;1,0000;1,0000;0,5000;1,0000;0,0000;0,6667;0,0833
Cancel;Aalst;None;0;4;2;5;0;0;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000
Datencontext;Aalst;None;0;7;2;11;1;1;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000
DatenobjekttypFürAnweisung;Aalst;None;0;2;2;3;0;0;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000
db_export;Aalst;None;0;9;2;17;0;0;1;1;0,0000;0,0000;1,0000;1,0000;1,0000;0,0000;1,0000;0,0000;0,0000;0,0000
Debitor;Aalst;None;0;11;2;21;2;2;1;1;0,0000;0,0000;1,0000;1,0000;1,0000;0,0000;1,0000;0,0000;0,0000;0,0000
Deploy_Ordner;Aalst;None;0;12;2;26;3;3;1;1;0,2857;0,1667;1,0000;1,0000;1,0000;0,0000;1,0000;0,2000;0,0000;0,0000
Ekpr_import_schnittstelle;Aalst;None;0;7;2;14;2;2;0;0;0,1667;0,1429;1,0000;1,0000;0,5000;0,7500;0,2000;0,3333;0,0000;0,0000
Fakturen;Aalst;None;0;6;2;10;1;1;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000
Fehlerbehandlung;Aalst;None;0;6;2;16;2;2;1;1;0,0000;0,0000;1,0000;1,0000;1,0000;0,3333;0,0000;0,0000;0,1250;0,0625
Hochziehen einer Solution;Aalst;None;0;4;2;8;0;0;1;1;0,0000;0,0000;1,0000;1,0000;1,0000;0,0000;1,0000;0,0000;0,0000;0,0000
inventur;Aalst;None;0;6;2;7;0;0;0;0;0,0000;0,0000;1,0000;1,0000;0,0000;1,0000;0,0000;1,0000;0,0000;0,0000
inventurstorno;Aalst;None;0;20;2;33;3;3;1;1;0,4444;0,1500;1,0000;1,0000;1,0000;0,2500;1,0000;0,2500;0,0000;0,0000
JobVerarbeiten;Aalst;None;0;5;2;6;0;0;0;0;0,0000;0,0000;1,0000;1,0000;0,0000;1,0000;0,0000;1,0000;0,0000;0,0000
JobVerarbeitung_auslösen;Aalst;None;0;11;2;15;1;1;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;0,0000;1,0000;0,0000;0,0000;0,0000
Job_wartezeitfürwiederausführung;Aalst;None;0;12;2;19;1;1;0;0;0,7500;0,0833;1,0000;1,0000;1,0000;1,0000;0,7500;0,1000;0,4000;0,1053
Kassa;Aalst;None;0;9;2;18;2;2;0;0;0,6667;0,3333;1,0000;1,0000;1,0000;0,5000;1,0000;0,1667;0,7000;0,2778
Klumpat_Attribut;Aalst;None;0;3;2;9;1;1;0;0;1,0000;0,0000;1,0000;1,0000;1,0000;1,0000;1,0000;0,0000;1,0000;0,0000
Kommissionierung;Aalst;None;0;10;2;14;1;1;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;0,0000;1,0000;0,0000;0,0000;0,0000
KommSchein;Aalst;None;0;6;2;10;1;1;0;0;0,0000;0,0000;1,0000;1,0000;0,5000;1,0000;0,0000;0,0000;0,0000;0,0000
LockMode;Aalst;None;0;5;2;9;1;1;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;0,0000;1,0000;0,0000;0,0000;0,0000
löschen;Aalst;None;0;5;2;9;1;1;0;0;0,0000;0,0000;1,0000;1,0000;0,5000;1,0000;0,0000;0,0000;0,1111;0,1111
MarkdownFile;Aalst;None;0;3;2;4;0;0;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000
Nachrichten;Aalst;None;0;6;2;10;0;0;1;1;0,0000;0,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
Notebook_Aufsetzen;Aalst;None;0;9;2;13;1;1;0;0;1,0000;0,8889;1,0000;1,0000;1,0000;0,0000;1,0000;0,5000;0,1111;0,0769
Reperatur;Aalst;None;0;9;2;13;1;1;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000
Saisonware;Aalst;None;0;5;2;6;0;0;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000
SignaturVorgang;Aalst;None;0;2;2;6;1;1;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000
Sitzung;Aalst;None;0;3;2;7;1;1;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;0,0000;1,0000;0,0000;0,0000;0,0000
Solution_releasen;Aalst;None;0;12;2;16;1;1;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;0,0000;1,0000;0,0000;0,0000;0,0000
speichern_neuanlage;Aalst;None;0;4;2;8;1;1;0;0;0,0000;0,0000;1,0000;1,0000;0,5000;1,0000;0,0000;0,0000;0,0000;0,0000
speichern_änderungsmodus;Aalst;None;0;3;2;7;1;1;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000
spl_Termin_neuberechnen;Aalst;None;0;6;2;7;0;0;0;0;0,2000;0,1667;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000
Sql_Phase1_2_3;Aalst;None;0;10;2;25;1;1;2;3;0,0000;0,0000;1,0000;1,0000;1,0000;0,0000;1,0000;0,0000;0,0000;0,0000
TraceNummer;Aalst;None;0;4;2;5;0;0;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000
Transaktion;Aalst;None;0;1;2;2;0;0;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000
TransportmittelFürFahrtenbuch;Aalst;None;0;3;2;7;1;1;0;0;1,0000;0,0000;1,0000;1,0000;1,0000;1,0000;1,0000;0,0000;0,8333;0,1429
Verkaufspreisfindung;Aalst;None;0;8;2;18;3;3;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;0,3333;0,0000;1,0000;0,0000;0,0000
ViewUnitRetrieveType;Aalst;None;0;5;2;9;1;1;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000
vkpr_import_schnittstelle;Aalst;None;0;6;2;16;2;2;1;1;0,0000;0,0000;1,0000;1,0000;1,0000;0,3333;0,0000;0,0000;0,0000;0,0000
Warenbeschaffung;Aalst;None;0;3;2;8;1;1;0;0;0,0000;0,0000;1,0000;1,0000;0,3333;1,0000;0,0000;0,0000;0,0000;0,0000
Zugriff_DOT;Aalst;None;0;5;2;9;0;0;1;1;0,0000;0,0000;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000
Änderungen;Aalst;None;0;5;2;14;1;1;1;1;0,0000;0,0000;1,0000;1,0000;1,0000;0,5000;0,0000;0,0000;0,0000;0,0000
