Name;Group;AnonLevel;HatFehler;Tasks;Events;SequenceFlows;XOR (Split);XOR (Join);AND (Split);AND (Join);task_fitness;task_precision;event_fitness;event_precision;gatewayPositioning_fitness;gatewayPositioning_precision;gatewayContent_fitness;gatewayContent_precision;flow_fitness;flow_precision
Architektur_Aus_Anwendersicht;Aau;None;0;6;2;10;0;0;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;0,0000;1,0000;1,0000;0,0000;0,0000
Auftragsanlage;Aau;None;0;17;2;33;0;0;0;0;0,2000;0,0588;1,0000;1,0000;1,0000;0,0000;1,0000;1,0000;0,0000;0,0000
Auswahldialog;Aau;None;0;12;2;19;0;0;0;0;0,0909;0,0833;1,0000;1,0000;1,0000;0,0000;1,0000;1,0000;0,0000;0,0000
Benutzerberechtigungen;Aau;None;0;5;2;9;0;0;0;0;1,0000;0,2000;1,0000;1,0000;0,0000;0,0000;1,0000;1,0000;0,0000;0,0000
BMD_updates;Aau;None;0;3;2;4;0;0;0;0;0,0000;0,0000;1,0000;1,0000;0,0000;1,0000;0,0000;1,0000;0,0000;0,0000
BsIndikator;Aau;None;0;2;2;6;0;0;0;0;0,5000;0,0000;1,0000;1,0000;0,0000;0,0000;0,5000;1,0000;0,0000;0,0000
Cancel;Aau;None;0;4;2;5;0;0;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000
Datencontext;Aau;None;0;6;2;13;0;0;0;0;0,0000;0,0000;1,0000;1,0000;0,0000;0,0000;0,0000;1,0000;0,0000;0,0000
DatenobjekttypFürAnweisung;Aau;None;0;3;2;4;0;0;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000
db_export;Aau;None;0;10;2;19;0;0;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;0,0000;1,0000;1,0000;0,0000;0,0000
Debitor;Aau;None;0;10;2;14;0;0;0;0;0,4000;0,4000;1,0000;1,0000;1,0000;0,0000;1,0000;1,0000;0,0909;0,0714
Deploy_Ordner;Aau;None;0;18;2;22;0;0;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;0,0000;1,0000;1,0000;0,0000;0,0000
Ekpr_import_schnittstelle;Aau;None;0;6;2;16;0;0;0;0;0,1667;0,1667;1,0000;1,0000;0,0000;0,0000;0,2000;1,0000;0,0000;0,0000
Fakturen;Aau;None;0;6;2;10;0;0;0;0;0,6667;0,3333;1,0000;1,0000;0,0000;0,0000;1,0000;1,0000;0,0000;0,0000
Fehlerbehandlung;Aau;None;0;5;2;9;0;0;0;0;0,0000;0,0000;1,0000;1,0000;0,0000;0,0000;0,0000;1,0000;0,0000;0,0000
Hochziehen einer Solution;Aau;None;0;4;2;5;0;0;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000
inventur;Aau;None;0;6;2;16;0;0;0;0;0,0000;0,0000;1,0000;1,0000;0,0000;0,0000;0,0000;1,0000;0,0000;0,0000
inventurstorno;Aau;None;0;10;2;17;0;0;0;0;0,0000;0,0000;1,0000;1,0000;0,0000;0,0000;0,0000;1,0000;0,0000;0,0000
JobVerarbeiten;Aau;None;0;7;2;8;0;0;0;0;0,0000;0,0000;1,0000;1,0000;0,0000;1,0000;0,0000;1,0000;0,0000;0,0000
JobVerarbeitung_auslösen;Aau;None;0;12;2;16;0;0;0;0;0,3333;0,2500;1,0000;1,0000;1,0000;0,0000;1,0000;1,0000;0,0000;0,0000
Job_wartezeitfürwiederausführung;Aau;None;0;5;2;11;0;0;0;0;0,5000;0,0000;1,0000;1,0000;0,0000;0,0000;0,5000;1,0000;0,0000;0,0000
Kassa;Aau;None;0;11;2;28;0;0;0;0;0,6667;0,3636;1,0000;1,0000;0,0000;0,0000;1,0000;1,0000;0,2000;0,0714
Klumpat_Attribut;Aau;None;0;3;2;8;0;0;0;0;0,5000;0,0000;1,0000;1,0000;0,0000;0,0000;0,5000;1,0000;0,0000;0,0000
Kommissionierung;Aau;None;0;18;2;34;0;0;0;0;0,7143;0,2778;1,0000;1,0000;1,0000;0,0000;1,0000;1,0000;0,2500;0,0588
KommSchein;Aau;None;0;6;2;10;0;0;0;0;0,6000;0,5000;1,0000;1,0000;0,0000;0,0000;0,7500;1,0000;0,0833;0,1000
LockMode;Aau;None;0;5;2;9;0;0;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;0,0000;1,0000;1,0000;0,0000;0,0000
löschen;Aau;None;0;4;2;8;0;0;0;0;0,0000;0,0000;1,0000;1,0000;0,0000;0,0000;0,0000;1,0000;0,0000;0,0000
MarkdownFile;Aau;None;0;4;2;5;0;0;0;0;0,6667;0,7500;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;0,5000;0,6000
Nachrichten;Aau;None;0;6;2;7;0;0;0;0;0,8000;0,6667;1,0000;1,0000;0,0000;1,0000;1,0000;1,0000;0,2222;0,2857
Notebook_Aufsetzen;Aau;None;0;9;2;14;0;0;0;0;1,0000;0,8889;1,0000;1,0000;1,0000;0,0000;1,0000;1,0000;0,5556;0,3571
Reperatur;Aau;None;0;9;2;13;0;0;0;0;0,6364;0,7778;1,0000;1,0000;0,0000;0,0000;0,5000;1,0000;0,0667;0,0769
Saisonware;Aau;None;0;5;2;6;0;0;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000
SignaturVorgang;Aau;None;0;3;2;4;0;0;0;0;1,0000;0,6667;1,0000;1,0000;0,0000;1,0000;1,0000;1,0000;0,0000;0,0000
Sitzung;Aau;None;0;3;2;7;0;0;0;0;0,6667;0,3333;1,0000;1,0000;1,0000;0,0000;1,0000;1,0000;0,5000;0,1429
Solution_releasen;Aau;None;0;13;2;14;0;0;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000
speichern_neuanlage;Aau;None;0;4;2;8;0;0;0;0;0,0000;0,0000;1,0000;1,0000;0,0000;0,0000;0,0000;1,0000;0,0000;0,0000
speichern_änderungsmodus;Aau;None;0;5;2;12;0;0;0;0;0,0000;0,0000;1,0000;1,0000;0,0000;0,0000;0,0000;1,0000;0,0000;0,0000
spl_Termin_neuberechnen;Aau;None;0;6;2;12;0;0;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;0,0000;1,0000;1,0000;0,0000;0,0000
Sql_Phase1_2_3;Aau;None;0;4;2;8;0;0;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;0,0000;1,0000;1,0000;0,0000;0,0000
TraceNummer;Aau;None;0;4;2;5;0;0;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000
Transaktion;Aau;None;0;2;2;3;0;0;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000
TransportmittelFürFahrtenbuch;Aau;None;0;3;2;7;0;0;0;0;0,5000;0,0000;1,0000;1,0000;0,0000;0,0000;0,5000;1,0000;0,0000;0,0000
Verkaufspreisfindung;Aau;None;0;25;2;38;0;0;0;0;0,0000;0,0000;1,0000;1,0000;0,0000;0,0000;0,0000;1,0000;0,0000;0,0000
ViewUnitRetrieveType;Aau;None;0;6;2;13;0;0;0;0;0,0000;0,0000;1,0000;1,0000;0,0000;0,0000;0,0000;1,0000;0,0000;0,0000
vkpr_import_schnittstelle;Aau;None;0;6;2;17;0;0;0;0;0,0000;0,0000;1,0000;1,0000;0,0000;0,0000;0,0000;1,0000;0,0000;0,0000
Warenbeschaffung;Aau;None;0;5;2;12;0;0;0;0;0,0000;0,0000;1,0000;1,0000;0,0000;0,0000;0,0000;1,0000;0,0000;0,0000
Zugriff_DOT;Aau;None;0;11;2;15;0;0;0;0;0,0000;0,0000;1,0000;1,0000;0,0000;0,0000;0,0000;1,0000;0,0000;0,0000
Änderungen;Aau;None;0;6;2;10;0;0;0;0;0,0000;0,0000;1,0000;1,0000;0,0000;0,0000;0,0000;1,0000;0,0000;0,0000
