Name;Group;AnonLevel;HatFehler;Tasks;Events;SequenceFlows;XOR (Split);XOR (Join);AND (Split);AND (Join);task_fitness;task_precision;event_fitness;event_precision;gatewayPositioning_fitness;gatewayPositioning_precision;gatewayContent_fitness;gatewayContent_precision;flow_fitness;flow_precision
inventur;Meins;Anon1;1;;;;;;;;;;;;;;;;;
Kommissionierung;Meins;Anon1;1;;;;;;;;;;;;;;;;;
speichern_neuanlage;Meins;Anon1;1;;;;;;;;;;;;;;;;;
speichern_änderungsmodus;Meins;Anon1;1;;;;;;;;;;;;;;;;;
Verkaufspreisfindung;Meins;Anon1;1;;;;;;;;;;;;;;;;;
Warenbeschaffung;Meins;Anon1;1;;;;;;;;;;;;;;;;;
Architektur_Aus_Anwendersicht;Meins;Anon1;0;9;2;10;0;0;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000
Auftragsanlage;Meins;Anon1;0;13;2;17;1;1;0;0;0,2000;0,0769;1,0000;1,0000;1,0000;0,0000;1,0000;0,1429;0,0000;0,0000
Auswahldialog;Meins;Anon1;0;12;2;13;0;0;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000
Benutzerberechtigungen;Meins;Anon1;0;5;2;9;1;1;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000
BMD_updates;Meins;Anon1;0;5;2;9;0;0;1;1;0,4000;0,0000;1,0000;1,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000
BsIndikator;Meins;Anon1;0;3;2;7;1;1;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,1667;0,1429
Cancel;Meins;Anon1;0;5;2;11;0;0;1;1;0,2500;0,6000;1,0000;1,0000;1,0000;0,0000;1,0000;0,7500;0,0000;0,0000
Datencontext;Meins;Anon1;0;9;2;15;2;0;0;1;0,0000;0,0000;1,0000;1,0000;1,0000;0,6667;0,0000;0,0000;0,0000;0,0000
DatenobjekttypFürAnweisung;Meins;Anon1;0;2;2;3;0;0;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000
db_export;Meins;Anon1;0;8;2;9;0;0;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000
Debitor;Meins;Anon1;0;11;2;12;0;0;0;0;0,0000;0,1818;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000
Deploy_Ordner;Meins;Anon1;0;14;2;18;1;1;0;0;0,1429;0,0714;1,0000;1,0000;1,0000;0,0000;1,0000;0,0000;0,1250;0,0556
Ekpr_import_schnittstelle;Meins;Anon1;0;8;2;13;1;1;0;0;0,1667;0,1250;1,0000;1,0000;0,3333;1,0000;0,2000;0,0000;0,0000;0,0769
