Name;HasErrors;ThrownOut;Grade;QU1;QU2;QU3
Änderungen;0;1;;;;
Cancel;0;0;2;2;2;1
Hochziehen einer Solution;0;0;3;1;3;2
JobVerarbeiten;0;0;2;1;2;2
LockMode;0;1;;;;
Sitzung;0;0;3;1;4;4
Ekpr_import_schnittstelle;0;0;2;2;2;1
SignaturVorgang;0;0;6;1;7;6
Reperatur;0;0;5;3;6;6
TraceNummer;0;0;5;2;7;6
Notebook_Aufsetzen;0;0;5;3;7;6
TransportmittelFürFahrtenbuch;0;0;6;2;6;5
Inventur;1;;;;;
BMD_updates;0;1;;;;
Fakturen;0;0;2;2;3;2
KommSchein;0;0;3;2;3;2
Zugriff_DOT;0;1;;;;
vkpr_import_schnittstelle;0;0;5;3;5;4
Benutzerberechtigungen;0;0;2;2;3;2
Architektur_Aus_Anwendersicht;0;0;2;1;1;1
Nachrichten;0;0;3;2;3;3
Klumpat_Attribut;0;0;4;1;5;4
Auswahldialog;0;0;3;2;3;3
löschen;0;1;;;;
inventurstorno;0;0;3;2;4;4
spl_Termin_neuberechnen;0;0;2;1;2;1
JobVerarbeitung_auslösen;0;1;;;;
Debitor;0;0;3;1;4;4
ViewUnitRetrieveType;0;0;2;1;3;3
MarkdownFile;0;0;5;3;7;7
Datencontext;0;1;;;;
db_export;0;1;;;;
speichern_neuanlage;1;;;;;
DatenobjekttypFürAnweisung;0;0;3;1;3;3
Kassa;0;0;7;2;7;7
Auftragsanlage;0;1;;;;
Job_wartezeitfürwiederausführung;0;0;6;3;7;7
Transaktion;0;0;6;2;6;6
speichern_änderungsmodus;1;;;;;
Solution_releasen;0;0;3;1;3;2
Deploy_Ordner;0;1;;;;
BsIndikator;0;0;6;2;6;5
Warenbeschaffung;1;;;;;
Fehlerbehandlung;0;0;4;1;5;3
Verkaufspreisfindung;1;;;;;
Kommissionierung;1;;;;;
Saisonware;0;0;4;1;4;3
Sql_Phase1_2_3;0;0;4;1;4;2
