Name;HasErrors;ThrownOut;Grade;QU1;QU2;QU3
Änderungen;0;0;3;2;2;2
Cancel;0;0;6;5;6;5
Hochziehen einer Solution;0;0;2;2;2;2
JobVerarbeiten;0;0;2;2;2;2
LockMode;0;1;;;;
Sitzung;0;0;4;4;4;3
Ekpr_import_schnittstelle;0;1;;;;
SignaturVorgang;0;1;;;;
Reperatur;0;0;3;2;3;2
TraceNummer;0;0;3;3;3;2
Notebook_Aufsetzen;0;0;5;4;5;4
TransportmittelFürFahrtenbuch;0;0;3;3;4;3
Inventur;0;0;3;3;3;3
BMD_updates;0;0;3;3;3;3
Fakturen;0;0;2;2;2;2
KommSchein;0;0;4;3;3;3
Zugriff_DOT;0;1;;;;
vkpr_import_schnittstelle;0;0;2;2;2;2
Benutzerberechtigungen;0;0;5;5;4;4
Architektur_Aus_Anwendersicht;0;0;3;3;3;3
Nachrichten;0;0;3;3;3;3
Klumpat_Attribut;0;0;2;2;2;2
Auswahldialog;0;0;2;2;2;2
löschen;0;0;4;4;4;4
inventurstorno;0;0;3;3;3;3
spl_Termin_neuberechnen;0;1;;;;
JobVerarbeitung_auslösen;0;1;;;;
Debitor;0;0;3;3;3;3
ViewUnitRetrieveType;0;1;;;;
MarkdownFile;0;0;4;4;4;4
Datencontext;0;0;2;2;2;2
db_export;0;1;;;;
speichern_neuanlage;0;0;2;2;2;2
DatenobjekttypFürAnweisung;0;0;2;2;2;2
Kassa;0;0;3;3;3;3
Auftragsanlage;0;0;2;2;2;2
Job_wartezeitfürwiederausführung;0;0;6;6;6;6
Transaktion;0;0;5;5;5;5
speichern_änderungsmodus;0;0;2;2;2;2
Solution_releasen;0;0;3;3;3;3
Deploy_Ordner;0;1;;;;
BsIndikator;0;0;6;6;6;6
Warenbeschaffung;0;0;2;2;2;2
Fehlerbehandlung;0;0;3;3;3;3
Verkaufspreisfindung;0;1;;;;
Kommissionierung;0;1;;;;
Saisonware;0;0;3;3;3;3
Sql_Phase1_2_3;0;0;2;2;2;2
