Name;Group;AnonLevel;HatFehler;Tasks;Events;SequenceFlows;XOR (Split);XOR (Join);AND (Split);AND (Join);task_fitness;task_precision;event_fitness;event_precision;gatewayPositioning_fitness;gatewayPositioning_precision;gatewayContent_fitness;gatewayContent_precision;flow_fitness;flow_precision
Architektur_Aus_Anwendersicht;Aalst;Anon2;0;7;2;13;0;0;1;1;0,0000;0,0000;1,0000;1,0000;1,0000;0,0000;1,0000;0,0000;0,0000;0,0000
Auftragsanlage;Aalst;Anon2;0;15;2;24;0;0;2;3;0,0000;0,0000;1,0000;1,0000;1,0000;0,0000;1,0000;0,0000;0,0000;0,0000
Auswahldialog;Aalst;Anon2;0;12;2;16;1;1;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;0,0000;1,0000;0,0000;0,0000;0,0000
Benutzerberechtigungen;Aalst;Anon2;0;3;2;10;2;2;0;0;0,0000;0,0000;1,0000;1,0000;0,0000;0,0000;0,5000;0,2000;0,0000;0,0000
BMD_updates;Aalst;Anon2;0;8;2;23;3;3;1;1;0,0000;0,2500;1,0000;1,0000;0,0000;0,3750;0,5000;0,2222;0,0000;0,0000
BsIndikator;Aalst;Anon2;0;4;2;8;1;1;0;0;0,0000;0,5000;1,0000;1,0000;0,0000;0,0000;0,3333;0,7500;0,0000;0,0000
Cancel;Aalst;Anon2;0;4;2;8;0;0;1;1;0,0000;0,2500;1,0000;1,0000;1,0000;0,0000;1,0000;0,3333;0,0000;0,0000
Datencontext;Aalst;Anon2;0;10;2;19;1;1;2;1;0,0000;0,0000;1,0000;1,0000;0,0000;0,0000;0,3333;0,0769;0,0000;0,0000
DatenobjekttypFürAnweisung;Aalst;Anon2;0;2;2;6;0;0;1;1;0,0000;0,0000;1,0000;1,0000;1,0000;0,0000;1,0000;0,0000;0,0000;0,0000
db_export;Aalst;Anon2;0;13;2;14;0;0;0;0;0,0000;0,1538;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;0,0000;0,0714
Debitor;Aalst;Anon2;0;16;2;28;2;2;1;2;0,0000;0,1875;1,0000;1,0000;1,0000;0,0000;1,0000;0,0000;0,0000;0,0000
Deploy_Ordner;Aalst;Anon2;0;15;2;28;1;1;1;2;0,0000;0,0000;1,0000;1,0000;1,0000;0,0000;1,0000;0,0000;0,0000;0,0000
Ekpr_import_schnittstelle;Aalst;Anon2;0;6;2;16;3;3;0;0;0,1667;0,1667;1,0000;1,0000;0,5000;0,5000;0,4444;0,6667;0,0000;0,0000
Fakturen;Aalst;Anon2;0;9;2;13;1;1;0;0;0,0000;0,3333;1,0000;1,0000;0,0000;0,5000;0,3333;0,3333;0,0000;0,0769
Fehlerbehandlung;Aalst;Anon2;0;9;2;16;2;2;0;0;0,0000;0,4444;1,0000;1,0000;0,0000;0,2500;0,5000;0,3333;0,0000;0,0000
Hochziehen einer Solution;Aalst;Anon2;0;4;2;9;0;0;1;1;0,0000;0,0000;1,0000;1,0000;1,0000;0,0000;1,0000;0,0000;0,0000;0,0000
inventurstorno;Aalst;Anon2;0;12;2;19;1;1;1;1;0,0000;0,0000;1,0000;1,0000;0,0000;0,0000;0,5000;0,0769;0,0000;0,0000
inventur;Aalst;Anon2;0;9;2;13;1;1;0;0;0,0000;0,0000;1,0000;1,0000;0,0000;0,0000;0,2500;0,3333;0,0000;0,0000
JobVerarbeiten;Aalst;Anon2;0;6;2;7;0;0;0;0;0,0000;0,0000;1,0000;1,0000;0,0000;1,0000;0,0000;1,0000;0,0000;0,0000
JobVerarbeitung_auslösen;Aalst;Anon2;0;11;2;12;0;0;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000
Job_wartezeitfürwiederausführung;Aalst;Anon2;0;5;2;11;1;1;0;0;0,5000;0,0000;1,0000;1,0000;0,0000;0,0000;0,6000;0,2000;0,0000;0,0000
Kassa;Aalst;Anon2;0;13;2;29;4;4;1;1;0,0000;0,3846;1,0000;1,0000;0,0000;0,1000;0,3333;0,2500;0,0000;0,0345
Klumpat_Attribut;Aalst;Anon2;0;12;2;20;1;1;1;1;0,0000;0,0000;1,0000;1,0000;0,0000;0,0000;0,3333;0,0667;0,0000;0,0000
Kommissionierung;Aalst;Anon2;0;20;2;28;0;0;3;1;0,0000;0,0000;1,0000;1,0000;1,0000;0,0000;1,0000;0,0000;0,0000;0,0000
KommSchein;Aalst;Anon2;0;6;2;19;3;3;1;1;0,0000;0,0000;1,0000;1,0000;0,0000;0,0000;0,3333;0,1818;0,0000;0,0000
