Name;Group;AnonLevel;HatFehler;Tasks;Events;SequenceFlows;XOR (Split);XOR (Join);AND (Split);AND (Join);task_fitness;task_precision;event_fitness;event_precision;gatewayPositioning_fitness;gatewayPositioning_precision;gatewayContent_fitness;gatewayContent_precision;flow_fitness;flow_precision
Kassa;Meins;Anon2;1;;;;;;;;;;;;;;;;;
speichern_neuanlage;Meins;Anon2;1;;;;;;;;;;;;;;;;;
Architektur_Aus_Anwendersicht;Meins;Anon2;0;8;2;9;0;0;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000
Auftragsanlage;Meins;Anon2;0;16;2;20;1;1;0;0;0,2000;0,0625;1,0000;1,0000;1,0000;0,0000;1,0000;0,1429;0,0000;0,0000
Auswahldialog;Meins;Anon2;0;12;2;13;0;0;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000
Benutzerberechtigungen;Meins;Anon2;0;5;2;9;1;1;0;0;0,0000;0,0000;1,0000;1,0000;0,0000;0,0000;0,5000;0,3333;0,0000;0,0000
BMD_updates;Meins;Anon2;0;5;2;9;1;1;0;0;0,0000;0,0000;1,0000;1,0000;0,0000;0,0000;0,2500;0,3333;0,0000;0,0000
BsIndikator;Meins;Anon2;0;3;2;7;1;1;0;0;0,0000;0,0000;1,0000;1,0000;0,0000;0,0000;0,3333;0,3333;0,0000;0,0000
Cancel;Meins;Anon2;0;5;2;6;0;0;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000
Datencontext;Meins;Anon2;0;8;2;15;2;1;0;1;0,0000;0,2500;1,0000;1,0000;0,0000;0,0000;0,3333;0,4286;0,0000;0,0000
DatenobjekttypFürAnweisung;Meins;Anon2;0;3;2;4;0;0;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000
db_export;Meins;Anon2;0;13;2;22;0;0;1;1;0,0000;0,1538;1,0000;1,0000;1,0000;0,0000;1,0000;0,2857;0,0000;0,0000
Debitor;Meins;Anon2;0;11;2;12;0;0;0;0;0,0000;0,1818;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000
Deploy_Ordner;Meins;Anon2;0;18;2;19;0;0;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000
Ekpr_import_schnittstelle;Meins;Anon2;0;6;2;10;1;0;0;1;0,1667;0,1667;1,0000;1,0000;0,1667;0,5000;0,2222;0,3333;0,0000;0,0000
Fakturen;Meins;Anon2;0;5;2;9;1;1;0;0;0,0000;0,0000;1,0000;1,0000;0,0000;0,0000;0,3333;0,3333;0,0000;0,0000
Fehlerbehandlung;Meins;Anon2;0;6;2;10;1;1;0;0;0,2500;0,3333;1,0000;1,0000;0,5000;0,5000;0,5000;0,6667;0,0000;0,1000
Hochziehen einer Solution;Meins;Anon2;0;5;2;10;0;0;1;1;0,6667;0,4000;1,0000;1,0000;1,0000;0,0000;1,0000;0,5000;0,0000;0,0000
inventur;Meins;Anon2;0;7;2;11;1;1;0;0;0,0000;0,0000;1,0000;1,0000;0,0000;0,0000;0,2500;0,2000;0,0000;0,0000
