Name;Group;AnonLevel;HatFehler;Tasks;Events;SequenceFlows;XOR (Split);XOR (Join);AND (Split);AND (Join);task_fitness;task_precision;event_fitness;event_precision;gatewayPositioning_fitness;gatewayPositioning_precision;gatewayContent_fitness;gatewayContent_precision;flow_fitness;flow_precision
Architektur_Aus_Anwendersicht;Aau;Anon1;0;11;2;12;0;0;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000
Auftragsanlage;Aau;Anon1;1;;;;;;;;;;;;;;;;;
Auswahldialog;Aau;Anon1;0;12;2;19;0;0;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;0,0000;1,0000;1,0000;0,0000;0,0000
Benutzerberechtigungen;Aau;Anon1;0;4;2;8;0;0;0;0;0,0000;0,0000;1,0000;1,0000;0,0000;0,0000;0,0000;1,0000;0,0000;0,0000
BMD_updates;Aau;Anon1;0;5;2;18;0;0;0;0;0,0000;0,0000;1,0000;1,0000;0,0000;0,0000;0,0000;1,0000;0,0000;0,0000
BsIndikator;Aau;Anon1;0;2;2;6;0;0;0;0;0,0000;0,0000;1,0000;1,0000;0,0000;0,0000;0,0000;1,0000;0,0000;0,0000
Cancel;Aau;Anon1;0;4;2;5;0;0;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000
Datencontext;Aau;Anon1;0;10;2;17;0;0;0;0;0,0000;0,1000;1,0000;1,0000;0,0000;0,0000;0,0000;1,0000;0,0000;0,0000
DatenobjekttypFürAnweisung;Aau;Anon1;0;3;2;4;0;0;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000
db_export;Aau;Anon1;0;10;2;11;0;0;0;0;0,0000;0,2000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;0,0000;0,0909
Debitor;Aau;Anon1;0;12;2;16;0;0;0;0;0,0000;0,1667;1,0000;1,0000;1,0000;0,0000;1,0000;1,0000;0,0000;0,0000
Deploy_Ordner;Aau;Anon1;0;9;2;16;0;0;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;0,0000;1,0000;1,0000;0,0000;0,0000
Ekpr_import_schnittstelle;Aau;Anon1;0;7;2;11;0;0;0;0;0,1667;0,2857;1,0000;1,0000;0,0000;0,0000;0,2000;1,0000;0,0000;0,0000
Fakturen;Aau;Anon1;0;11;2;15;0;0;0;0;0,0000;0,2727;1,0000;1,0000;0,0000;0,0000;0,0000;1,0000;0,0000;0,0667
Fehlerbehandlung;Aau;Anon1;0;6;2;15;0;0;0;0;0,0000;0,0000;1,0000;1,0000;0,0000;0,0000;0,0000;1,0000;0,0000;0,0000
Hochziehen einer Solution;Aau;Anon1;0;4;2;5;0;0;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000
inventurstorno;Aau;Anon1;0;10;2;20;0;0;0;0;0,0000;0,1000;1,0000;1,0000;0,0000;0,0000;0,0000;1,0000;0,0000;0,0000
inventur;Aau;Anon1;0;6;2;10;0;0;0;0;0,0000;0,0000;1,0000;1,0000;0,0000;0,0000;0,0000;1,0000;0,0000;0,0000
JobVerarbeiten;Aau;Anon1;0;4;2;5;0;0;0;0;0,0000;0,0000;1,0000;1,0000;0,0000;1,0000;0,0000;1,0000;0,0000;0,0000
