Name;Group;AnonLevel;HatFehler;Tasks;Events;SequenceFlows;XOR (Split);XOR (Join);AND (Split);AND (Join);task_fitness;task_precision;event_fitness;event_precision;gatewayPositioning_fitness;gatewayPositioning_precision;gatewayContent_fitness;gatewayContent_precision;flow_fitness;flow_precision
Auftragsanlage;Meins;None;1;;;;;;;;;;;;;;;;;
Kommissionierung;Meins;None;1;;;;;;;;;;;;;;;;;
speichern_neuanlage;Meins;None;1;;;;;;;;;;;;;;;;;
speichern_änderungsmodus;Meins;None;1;;;;;;;;;;;;;;;;;
Verkaufspreisfindung;Meins;None;1;;;;;;;;;;;;;;;;;
Warenbeschaffung;Meins;None;1;;;;;;;;;;;;;;;;;
Architektur_Aus_Anwendersicht;Meins;None;0;7;2;11;0;0;1;1;0,0000;0,0000;1,0000;1,0000;1,0000;0,0000;1,0000;0,0000;0,0000;0,0000
Auswahldialog;Meins;None;0;13;2;14;0;0;0;0;0,2727;0,1538;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000
Benutzerberechtigungen;Meins;None;0;5;2;9;1;1;0;0;1,0000;0,2000;1,0000;1,0000;1,0000;1,0000;1,0000;0,5000;0,4000;0,2222
BMD_updates;Meins;None;0;6;2;7;0;0;0;0;0,8000;0,1667;1,0000;1,0000;0,0000;1,0000;1,0000;1,0000;0,0833;0,0000
BsIndikator;Meins;None;0;3;2;8;1;1;0;0;1,0000;0,0000;1,0000;1,0000;1,0000;1,0000;1,0000;0,0000;1,0000;0,2500
Cancel;Meins;None;0;4;2;5;0;0;0;0;0,2500;0,7500;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;0,2000;0,6000
Datencontext;Meins;None;0;6;2;10;1;1;0;0;0,2000;0,1667;1,0000;1,0000;1,0000;1,0000;0,5000;0,5000;0,3333;0,3000
DatenobjekttypFürAnweisung;Meins;None;0;2;2;6;1;1;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;0,0000;1,0000;0,0000;0,0000;0,0000
db_export;Meins;None;0;7;2;11;0;0;1;1;0,0000;0,0000;1,0000;1,0000;1,0000;0,0000;1,0000;0,0000;0,0000;0,0000
Debitor;Meins;None;0;9;2;14;0;0;0;0;0,3000;0,3333;1,0000;1,0000;1,0000;0,0000;1,0000;1,0000;0,1818;0,1429
Deploy_Ordner;Meins;None;0;6;2;7;0;0;0;0;0,4286;0,1667;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;0,3750;0,0000
Ekpr_import_schnittstelle;Meins;None;0;6;2;10;1;1;0;0;0,5000;0,5000;1,0000;1,0000;0,3333;1,0000;0,4000;1,0000;0,0625;0,1000
Fakturen;Meins;None;0;7;2;11;1;1;0;0;0,6667;0,1429;1,0000;1,0000;1,0000;1,0000;1,0000;0,5000;0,7143;0,2727
Fehlerbehandlung;Meins;None;0;5;2;9;1;1;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,1250;0,1111
Hochziehen einer Solution;Meins;None;0;4;2;9;0;0;1;1;0,6667;0,7500;1,0000;1,0000;1,0000;0,0000;1,0000;0,6667;0,2500;0,1111
inventur;Meins;None;0;6;2;10;1;0;0;1;0,7500;0,5000;1,0000;1,0000;0,0000;0,0000;0,5000;0,5000;0,0909;0,1000
inventurstorno;Meins;None;0;10;2;11;0;0;0;0;0,5556;0,4000;1,0000;1,0000;0,0000;1,0000;0,0000;1,0000;0,0769;0,0000
JobVerarbeiten;Meins;None;0;4;2;5;0;0;0;0;0,2000;0,2500;1,0000;1,0000;0,0000;1,0000;0,5000;1,0000;0,0000;0,0000
JobVerarbeitung_auslösen;Meins;None;0;10;2;11;0;0;0;0;0,5556;0,4000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;0,4000;0,1818
Job_wartezeitfürwiederausführung;Meins;None;0;4;2;10;1;1;0;0;0,5000;0,0000;1,0000;1,0000;1,0000;1,0000;0,5000;0,0000;0,6000;0,2000
Kassa;Meins;None;0;8;2;9;0;0;0;0;0,5000;0,2500;1,0000;1,0000;0,0000;1,0000;0,5000;1,0000;0,2000;0,2222
Klumpat_Attribut;Meins;None;0;5;2;9;1;1;0;0;1,0000;0,4000;1,0000;1,0000;1,0000;1,0000;1,0000;0,5000;0,5000;0,3333
KommSchein;Meins;None;0;7;2;14;2;2;0;0;0,6000;0,4286;1,0000;1,0000;1,0000;1,0000;0,7500;0,7500;0,5000;0,4286
LockMode;Meins;None;0;4;2;5;0;0;0;0;0,5000;0,2500;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000
löschen;Meins;None;0;5;2;9;1;1;0;0;1,0000;0,4000;1,0000;1,0000;0,5000;1,0000;1,0000;0,4000;0,2222;0,2222
MarkdownFile;Meins;None;0;3;2;4;0;0;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000
Nachrichten;Meins;None;0;6;2;7;0;0;0;0;0,8000;0,6667;1,0000;1,0000;0,0000;1,0000;1,0000;1,0000;0,2222;0,2857
Notebook_Aufsetzen;Meins;None;0;8;2;9;0;0;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000
Reperatur;Meins;None;0;6;2;10;1;1;0;0;0,2727;0,3333;1,0000;1,0000;0,5000;0,5000;0,5000;0,0000;0,0667;0,0000
Saisonware;Meins;None;0;5;2;6;0;0;0;0;0,3333;0,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000
SignaturVorgang;Meins;None;0;4;2;5;0;0;0;0;1,0000;0,5000;1,0000;1,0000;0,0000;1,0000;1,0000;1,0000;0,0000;0,0000
Sitzung;Meins;None;0;3;2;4;0;0;0;0;0,6667;0,3333;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;0,5000;0,2500
Solution_releasen;Meins;None;0;8;2;9;0;0;0;0;0,1429;0,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000
spl_Termin_neuberechnen;Meins;None;0;9;2;6;0;0;0;0;0,6000;0,2222;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;0,1667;0,0000
Sql_Phase1_2_3;Meins;None;0;6;2;7;0;0;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000
TraceNummer;Meins;None;0;4;2;5;0;0;0;0;0,2500;0,2500;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000
Transaktion;Meins;None;0;1;2;2;0;0;0;0;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000
TransportmittelFürFahrtenbuch;Meins;None;0;3;2;7;1;1;0;0;1,0000;0,6667;1,0000;1,0000;0,5000;0,5000;1,0000;0,5000;0,3333;0,2857
ViewUnitRetrieveType;Meins;None;0;4;2;8;1;1;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000
vkpr_import_schnittstelle;Meins;None;0;8;2;13;1;1;0;0;0,2500;0,0000;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,1250;0,0000
Zugriff_DOT;Meins;None;0;10;2;11;0;0;0;0;0,0000;0,0000;1,0000;1,0000;0,0000;1,0000;0,0000;1,0000;0,0000;0,0000
Änderungen;Meins;None;0;5;2;9;1;1;0;0;0,3333;0,2000;1,0000;1,0000;0,5000;0,5000;0,3333;0,0000;0,0000;0,0000
